timestamp,sound
,-
0.0,C
0.27400017,D
,-
0.62300014,B
,-
1.1389999,C
,-
1.5320005,D
,-
1.981,B
,-
2.4020004,C
,-
2.9580002,C
,-
3.118,D
,-
3.4770002,C
,-
3.738,D
,-
4.269,A
,-
4.5580006,C
,-
4.87,B
,-
5.3690004,C
,-
5.892,D
,-
6.3550005,C
,-
6.906,B
,-
7.368001,D
,-
7.873,D
,-
8.065,A
8.186999,C
,-
8.377999,C
,-
8.803,D
,-
9.082,D
,-
9.276999,C
,-
9.738999,A
,-
10.036,A
,-
10.214,B
,-
10.521001,D
,-
10.745999,D
,-
11.097001,B
,-
11.537,C
,-
11.78,C
,-
12.233001,A
,-
12.479001,C
,-
12.661,D
12.788001,A
,-
13.256,D
,-
13.8,D
,-
14.207,A
,-
14.424001,B
,-
14.972001,B
,-
15.47,C
15.609,A
,-
16.115002,D
,-
16.506,B
,-
17.041,C
,-
