timestamp,sound
,-
0.0,C
0.24300003,D
,-
0.64299965,B
,-
1.1089997,C
,-
1.586,D
,-
2.0219998,B
,-
2.1539998,B
,-
2.9899998,C
,-
3.1379995,D
,-
3.4899998,C
,-
3.7399998,D
,-
4.29,A
,-
4.5810003,C
,-
4.8859997,B
,-
5.3829994,C
,-
5.8710003,D
,-
6.3759995,C
,-
6.924,B
,-
7.3619995,D
,-
7.896,D
,-
8.089,A
8.2,C
,-
8.398,C
,-
8.806,D
,-
9.082,D
,-
9.276999,C
,-
9.749,A
,-
10.049,A
,-
10.231,B
,-
10.532,D
,-
10.7439995,D
,-
11.142,B
,-
11.556,C
,-
11.784,C
,-
12.243,A
,-
12.473999,C
,-
12.686001,D
12.785,A
,-
13.284,D
,-
13.820999,D
,-
14.249001,A
14.483999,B
,-
15.021,B
,-
15.523001,C
,-
16.154,D
,-
17.085,C
,-
