timestamp,sound
0.0,C
,Delay
0.6500006,B
,Delay
1.1500006,C
,Delay
1.5940008,D
,Delay
2.1610003,B
,Delay
2.6280003,C
,Delay
3.0020008,C
,Delay
3.4350004,D
,Delay
3.5930004,C
,Delay
4.0250006,D
,Delay
4.2940006,A
,Delay
4.7280006,C
,Delay
5.1100006,B
,Delay
5.394001,C
,Delay
5.8929996,D
,Delay
6.394001,C
,Delay
6.943001,B
,Delay
7.411001,D
,Delay
7.9279995,D
,Delay
8.629,C
,Delay
8.861,D
,Delay
9.562,C
,Delay
9.782,A
,Delay
10.501001,B
,Delay
10.701,D
,Delay
11.218,B
,Delay
11.568001,C
,Delay
12.302,A
,Delay
13.286001,D
,Delay
13.852001,D
,Delay
14.367001,A
,Delay
14.718,B
,Delay
15.189001,B
,Delay
15.622,C
,Delay
15.971001,A
,Delay
16.154001,D
,Delay
16.605,B
,Delay
17.105,C
,Delay
