timestamp,sound
0.0,C
,Delay
0.7190008,A
,Delay
1.4220009,D
,Delay
2.5040007,A
,Delay
2.8070002,C
,Delay
3.4420004,A
,Delay
3.5580006,D
,Delay
3.9430008,C
,Delay
4.5080004,B
,Delay
4.6240005,C
,Delay
5.191,B
,Delay
5.658001,C
,Delay
6.1900005,B
,Delay
6.7910004,D
,Delay
7.394001,C
,Delay
7.693001,D
,Delay
8.309999,D
,Delay
8.845001,C
,Delay
9.294001,D
,Delay
9.794001,C
,Delay
10.2439995,A
,Delay
10.460001,B
,Delay
11.01,B
,Delay
11.460001,A
,Delay
11.961,B
,Delay
12.444,C
,Delay
12.677,A
,Delay
13.044001,D
,Delay
13.261,D
,Delay
13.727001,C
,Delay
14.2439995,C
,Delay
14.677,D
,Delay
15.045,C
,Delay
15.544001,D
,Delay
15.779001,B
,Delay
16.16,C
,Delay
16.695,A
,Delay
16.823,C
,Delay
17.258001,B
,Delay
17.842001,D
,Delay
18.113,A
,Delay
19.197,C
,Delay
19.398,D
,Delay
19.862,D
,Delay
20.328001,C
,Delay
20.814001,B
,Delay
20.933,C
,Delay
21.78,D
,Delay
22.213,B
,Delay
22.913,D
,Delay
23.196001,C
,Delay
23.648,A
,Delay
24.196001,C
,Delay
24.696001,A
,Delay
25.563002,D
,Delay
25.730001,C
,Delay
26.523,A
,Delay
27.219,D
,Delay
27.319002,B
,Delay
27.787,D
,Delay
28.045,C
,Delay
28.394999,C
,Delay
29.588,B
,Delay
29.74,A
,Delay
30.108,D
,Delay
30.525,A
,Delay
30.925001,B
,Delay
31.418001,A
,Delay
