timestamp,sound
0.0,C
,Delay
0.81799984,A
,Delay
1.7119989,D
,Delay
2.196,A
,Delay
2.4369993,C
,Delay
3.3140001,D
,Delay
3.6209993,C
,Delay
4.87,B
,Delay
5.4070005,C
,Delay
5.9119997,B
,Delay
6.5530005,D
,Delay
8.616,C
,Delay
9.195001,D
,Delay
9.491,C
,Delay
9.939,A
,Delay
10.158999,B
,Delay
10.685,B
,Delay
11.138,A
,Delay
11.666999,B
,Delay
12.13,C
,Delay
12.367,A
,Delay
12.78,D
,Delay
13.44,C
,Delay
14.429999,D
,Delay
14.728,C
,Delay
15.214,D
,Delay
15.4800005,B
,Delay
16.056,A
,Delay
16.536,C
,Delay
16.980999,B
,Delay
17.555,D
,Delay
17.830997,A
,Delay
18.912998,C
,Delay
19.161,D
,Delay
20.487,B
,Delay
20.628998,C
,Delay
21.438,D
,Delay
21.913998,B
,Delay
22.598999,D
,Delay
22.927998,C
,Delay
23.330997,A
,Delay
23.886997,C
,Delay
24.358997,A
,Delay
25.292,D
,Delay
25.438,C
,Delay
26.168,A
,Delay
26.917,D
,Delay
27.046997,B
,Delay
27.515999,D
,Delay
27.735,C
,Delay
29.273998,B
,Delay
29.439999,A
,Delay
29.82,D
,Delay
30.261997,A
,Delay
30.648998,B
,Delay
31.085999,A
,Delay
